2025-11-02_04-37-06 | Pieces: 0 | G2-0: 0 | G2-1: 0 | G2-2: 0 | G2-3: 0 | G2-4: 0
2025-11-10_20-41-34 | Pieces: 2 | G2-0: 0 | G2-1: 0 | G2-2: 1 | G2-3: 1 | G2-4: 0
2025-11-10_20-48-33 | Pieces: 2 | G2-0: 0 | G2-1: 0 | G2-2: 1 | G2-3: 1 | G2-4: 0
2025-11-10_20-49-12 | Pieces: 2 | G2-0: 0 | G2-1: 0 | G2-2: 1 | G2-3: 1 | G2-4: 0
2025-11-10_20-51-24 | Pieces: 3 | G2-0: 0 | G2-1: 0 | G2-2: 1 | G2-3: 2 | G2-4: 0
2025-11-10_20-52-49 | Pieces: 4 | G2-0: 0 | G2-1: 0 | G2-2: 1 | G2-3: 3 | G2-4: 0
2025-11-10_20-56-42 | Pieces: 4 | G2-0: 0 | G2-1: 0 | G2-2: 1 | G2-3: 3 | G2-4: 0
2026-02-03_09-17-46 | Pieces: 1 | G2-0: 0 | G2-1: 0 | G2-2: 0 | G2-3: 1 | G2-4: 0
2026-02-03_09-19-58 | Pieces: 2 | G2-0: 0 | G2-1: 0 | G2-2: 0 | G2-3: 2 | G2-4: 0
2026-02-03_09-37-00 | Pieces: 1 | G2-0: 0 | G2-1: 0 | G2-2: 0 | G2-3: 1 | G2-4: 0
2026-02-03_09-37-39 | Pieces: 1 | G2-0: 0 | G2-1: 0 | G2-2: 0 | G2-3: 1 | G2-4: 0
2026-02-03_10-13-46 | Pieces: 1 | G2-0: 0 | G2-1: 0 | G2-2: 0 | G2-3: 0 | G2-4: 1
2026-02-03_10-14-36 | Pieces: 1 | G2-0: 0 | G2-1: 0 | G2-2: 0 | G2-3: 0 | G2-4: 1
2026-02-03_10-19-14 | Pieces: 3 | G2-0: 1 | G2-1: 0 | G2-2: 0 | G2-3: 1 | G2-4: 1
2026-02-03_18-16-27 | Pieces: 1 | G2-0: 0 | G2-1: 0 | G2-2: 0 | G2-3: 1 | G2-4: 0
2026-02-04_12-27-39 | Pieces: 1 | G2-0: 0 | G2-1: 0 | G2-2: 0 | G2-3: 0 | G2-4: 1
2026-02-04_12-28-53 | Pieces: 2 | G2-0: 0 | G2-1: 0 | G2-2: 0 | G2-3: 0 | G2-4: 2
2026-02-04_12-29-29 | Pieces: 2 | G2-0: 0 | G2-1: 0 | G2-2: 0 | G2-3: 0 | G2-4: 2
2026-02-04_12-32-07 | Pieces: 2 | G2-0: 0 | G2-1: 0 | G2-2: 0 | G2-3: 0 | G2-4: 2
2026-02-04_12-33-25 | Pieces: 2 | G2-0: 0 | G2-1: 0 | G2-2: 0 | G2-3: 0 | G2-4: 2
2026-02-04_12-34-33 | Pieces: 2 | G2-0: 0 | G2-1: 0 | G2-2: 0 | G2-3: 0 | G2-4: 2
2026-02-04_12-35-08 | Pieces: 2 | G2-0: 0 | G2-1: 0 | G2-2: 0 | G2-3: 0 | G2-4: 2
2026-02-04_12-36-11 | Pieces: 2 | G2-0: 0 | G2-1: 0 | G2-2: 0 | G2-3: 0 | G2-4: 2
2026-02-04_12-43-18 | Pieces: 5 | G2-0: 1 | G2-1: 0 | G2-2: 0 | G2-3: 0 | G2-4: 4
2026-02-04_12-44-26 | Pieces: 6 | G2-0: 1 | G2-1: 0 | G2-2: 1 | G2-3: 0 | G2-4: 4
2026-02-04_12-45-06 | Pieces: 6 | G2-0: 1 | G2-1: 0 | G2-2: 1 | G2-3: 0 | G2-4: 4
2026-02-04_12-54-41 | Pieces: 7 | G2-0: 1 | G2-1: 0 | G2-2: 1 | G2-3: 0 | G2-4: 5
2026-02-04_13-01-28 | Pieces: 14 | G2-0: 1 | G2-1: 1 | G2-2: 7 | G2-3: 0 | G2-4: 5
2026-02-04_13-08-42 | Pieces: 22 | G2-0: 1 | G2-1: 2 | G2-2: 14 | G2-3: 0 | G2-4: 5
2026-02-04_13-10-41 | Pieces: 24 | G2-0: 1 | G2-1: 2 | G2-2: 16 | G2-3: 0 | G2-4: 5
2026-02-04_13-14-06 | Pieces: 25 | G2-0: 1 | G2-1: 2 | G2-2: 16 | G2-3: 1 | G2-4: 5
2026-02-04_15-44-39 | Pieces: 1 | G2-0: 0 | G2-1: 0 | G2-2: 1 | G2-3: 0 | G2-4: 0
